Early embryo	Middle embryo	Late embryo	Larva	Pupae.Adult
FBgn0026597	FBgn0031603	FBgn0262562	FBgn0031678	FBgn0033856
FBgn0027592	FBgn0261245	FBgn0040348	FBgn0250868	FBgn0032483
FBgn0051457	FBgn0025739	FBgn0031627	FBgn0001961	FBgn0027795
FBgn0039680	FBgn0022787	FBgn0034692	FBgn0034063	FBgn0025616
FBgn0002932	FBgn0040373	FBgn0263072	FBgn0053315	FBgn0030691
FBgn0024909	FBgn0015513	FBgn0027929	FBgn0024958	FBgn0051139
FBgn0001491	FBgn0041174	FBgn0020269	FBgn0033926	FBgn0031644
FBgn0037372	FBgn0024234	FBgn0029105	FBgn0030521	FBgn0037254
FBgn0004838	FBgn0028506	FBgn0037130	FBgn0086656	FBgn0029859
FBgn0261786	FBgn0050383	FBgn0036935	FBgn0036571	FBgn0031596
FBgn0024998	FBgn0011771	FBgn0034417	FBgn0027611	FBgn0037668
FBgn0004401	FBgn0034350	FBgn0034070	FBgn0004687	FBgn0261587
FBgn0037481	FBgn0013981	FBgn0030634	FBgn0039402	FBgn0053223
FBgn0003978	FBgn0037352	FBgn0032798	FBgn0033340	FBgn0029945
FBgn0034109	FBgn0002573	FBgn0032895	FBgn0028691	FBgn0030207
FBgn0000289	FBgn0002734	FBgn0028542	FBgn0051717	FBgn0039504
FBgn0032690	FBgn0051855	FBgn0052369	FBgn0261396	FBgn0033074
FBgn0067864	FBgn0053200	FBgn0024941	FBgn0050000	FBgn0004581
FBgn0263198	FBgn0015838	FBgn0050411	FBgn0035165	FBgn0035218
FBgn0020255	FBgn0052177	FBgn0063498	FBgn0028690	FBgn0050268
FBgn0014366	FBgn0035152	FBgn0035245	FBgn0035449	FBgn0031171
FBgn0014879	FBgn0030854	FBgn0051660	FBgn0047114	FBgn0040031
FBgn0039601	FBgn0033459	FBgn0004620	FBgn0037370	FBgn0033644
FBgn0029713	FBgn0052801	FBgn0005660	FBgn0034902	FBgn0036895
FBgn0021761	FBgn0024250	FBgn0259935	FBgn0040104	FBgn0040391
FBgn0038047	FBgn0029114	FBgn0034720	FBgn0028694	FBgn0083960
FBgn0037670	FBgn0053052	FBgn0086913	FBgn0028684	FBgn0260481
FBgn0053116	FBgn0033421	FBgn0030884	FBgn0259741	FBgn0035240
FBgn0035194	FBgn0053180	FBgn0052057	FBgn0040954	FBgn0035855
FBgn0005355	FBgn0013435	FBgn0032614	FBgn0003267	FBgn0038361
FBgn0037841	FBgn0032150	FBgn0085425	FBgn0025624	FBgn0034846
FBgn0001086	FBgn0028541	FBgn0039530	FBgn0032787	FBgn0013811
FBgn0010750	FBgn0046301	FBgn0031948	FBgn0001255	FBgn0029993
FBgn0034750	FBgn0045759	FBgn0259150	FBgn0040682	FBgn0036874
FBgn0037669	FBgn0003130	FBgn0030491	FBgn0034443	FBgn0029987
FBgn0004597	FBgn0061173	FBgn0029768	FBgn0037592	FBgn0051161
FBgn0023177	FBgn0035621	FBgn0028862	FBgn0036740	FBgn0033860
FBgn0011291	FBgn0039683	FBgn0033702	FBgn0000594	FBgn0052650
FBgn0030091	FBgn0260642	FBgn0039038	FBgn0085222	FBgn0053937
FBgn0020377	FBgn0261559	FBgn0039754	FBgn0032246	FBgn0040763
FBgn0011763	FBgn0004873	FBgn0000036	FBgn0035065	FBgn0052313
FBgn0015402	FBgn0032987	FBgn0027550	FBgn0025456	FBgn0031142
FBgn0035141	FBgn0031993	FBgn0051030	FBgn0261634	FBgn0013810
FBgn0036811	FBgn0004878	FBgn0028481	FBgn0262112	FBgn0038458
FBgn0031873	FBgn0033912	FBgn0260446	FBgn0050359	FBgn0000274
FBgn0038421	FBgn0052150	FBgn0259099	FBgn0262368	FBgn0031757
FBgn0036548	FBgn0035208	FBgn0030065	FBgn0036416	FBgn0033371
FBgn0031876	FBgn0022740	FBgn0036485	FBgn0035679	FBgn0038386
FBgn0051658	FBgn0015773	FBgn0032719	FBgn0034005	FBgn0034937
FBgn0033566	FBgn0029531	FBgn0034731	FBgn0043577	FBgn0032964
FBgn0004177	FBgn0027788	FBgn0052547	FBgn0036417	FBgn0032478
FBgn0037382	FBgn0033095	FBgn0034870	FBgn0261983	FBgn0086681
FBgn0000581	FBgn0004862	FBgn0037908	FBgn0050104	FBgn0262892
FBgn0034084	FBgn0260400	FBgn0029748	FBgn0035623	FBgn0036093
FBgn0010774	FBgn0262890	FBgn0031730	FBgn0052099	FBgn0043025
FBgn0030522	FBgn0039678	FBgn0034143	FBgn0038651	FBgn0030015
FBgn0026361	FBgn0038536	FBgn0051690	FBgn0004588	FBgn0262364
FBgn0039566	FBgn0013751	FBgn0034286	FBgn0052274	FBgn0052263
FBgn0028895	FBgn0083121	FBgn0085391	FBgn0051072	FBgn0058053
FBgn0259720	FBgn0086706	FBgn0030249	FBgn0050286	FBgn0051244
FBgn0033378	FBgn0040318	FBgn0037015	FBgn0262366	FBgn0037143
FBgn0032034	FBgn0028473	FBgn0005564	FBgn0029710	FBgn0261583
FBgn0026679	FBgn0013953	FBgn0015323	FBgn0263246	FBgn0061196
FBgn0004362	FBgn0000459	FBgn0027491	FBgn0053687	FBgn0263290
FBgn0034380	FBgn0003896	FBgn0085387	FBgn0034623	FBgn0039503
FBgn0039558	FBgn0037439	FBgn0028879	FBgn0036410	FBgn0029753
FBgn0029833	FBgn0015550	FBgn0039332	FBgn0034221	FBgn0052436
FBgn0002924	FBgn0003053	FBgn0034888	FBgn0030493	FBgn0051542
FBgn0026737	FBgn0000439	FBgn0030889	FBgn0035811	FBgn0029722
FBgn0032691	FBgn0034168	FBgn0038295	FBgn0262874	FBgn0028899
FBgn0000463	FBgn0260467	FBgn0260458	FBgn0085273	FBgn0054021
FBgn0263050	FBgn0085457	FBgn0035094	FBgn0035839	FBgn0038598
FBgn0026566	FBgn0003118	FBgn0031943	FBgn0050108	FBgn0259151
FBgn0033846	FBgn0261813	FBgn0085440	FBgn0032549	FBgn0050461
FBgn0026207	FBgn0000659	FBgn0036836	FBgn0050379	FBgn0052983
FBgn0032812	FBgn0017578	FBgn0016660	FBgn0031747	FBgn0029951
FBgn0023180	FBgn0052779	FBgn0052645	FBgn0041224	FBgn0038993
FBgn0011836	FBgn0047092	FBgn0051004	FBgn0085325	FBgn0084008
FBgn0035416	FBgn0259936	FBgn0038095	FBgn0030542	FBgn0030770
FBgn0035721	FBgn0261356	FBgn0002917	FBgn0262148	FBgn0030937
FBgn0027378	FBgn0031077	FBgn0032435	FBgn0053688	FBgn0033168
FBgn0004837	FBgn0032138	FBgn0051051	FBgn0030586	FBgn0037307
