Early embryo	Middle embryo	Late embryo
ENSMUSG00000011052	ENSMUSG00000025577	ENSMUSG00000022235
ENSMUSG00000024116	ENSMUSG00000022678	ENSMUSG00000027202
ENSMUSG00000045417	ENSMUSG00000025986	ENSMUSG00000001021
ENSMUSG00000046590	ENSMUSG00000051786	ENSMUSG00000026489
ENSMUSG00000061501	ENSMUSG00000019831	ENSMUSG00000020017
ENSMUSG00000063020	ENSMUSG00000005917	ENSMUSG00000056148
ENSMUSG00000063173	ENSMUSG00000014547	ENSMUSG00000030427
ENSMUSG00000064823	ENSMUSG00000022105	ENSMUSG00000020062
ENSMUSG00000064844	ENSMUSG00000021488	ENSMUSG00000036492
ENSMUSG00000065220	ENSMUSG00000043800	ENSMUSG00000025150
ENSMUSG00000065442	ENSMUSG00000016528	ENSMUSG00000011305
ENSMUSG00000066257	ENSMUSG00000024472	ENSMUSG00000000386
ENSMUSG00000069297	ENSMUSG00000096983	ENSMUSG00000075420
ENSMUSG00000070263	ENSMUSG00000021318	ENSMUSG00000039179
ENSMUSG00000071466	ENSMUSG00000037326	ENSMUSG00000038751
ENSMUSG00000074871	ENSMUSG00000036422	ENSMUSG00000002057
ENSMUSG00000075002	ENSMUSG00000040717	ENSMUSG00000024526
ENSMUSG00000076800	ENSMUSG00000044906	ENSMUSG00000038599
ENSMUSG00000077612	ENSMUSG00000097006	ENSMUSG00000054052
ENSMUSG00000079272	ENSMUSG00000064168	ENSMUSG00000089703
ENSMUSG00000080342	ENSMUSG00000041075	ENSMUSG00000090700
ENSMUSG00000080452	ENSMUSG00000044066	ENSMUSG00000078439
ENSMUSG00000080485	ENSMUSG00000020212	ENSMUSG00000054986
ENSMUSG00000080610	ENSMUSG00000026842	ENSMUSG00000020591
ENSMUSG00000080827	ENSMUSG00000092182	ENSMUSG00000086868
ENSMUSG00000081961	ENSMUSG00000078185	ENSMUSG00000069873
ENSMUSG00000082268	ENSMUSG00000044783	ENSMUSG00000051596
ENSMUSG00000083269	ENSMUSG00000085932	ENSMUSG00000069805
ENSMUSG00000083401	ENSMUSG00000086859	ENSMUSG00000022947
ENSMUSG00000084136	ENSMUSG00000022634	ENSMUSG00000089822
ENSMUSG00000084732	ENSMUSG00000040097	ENSMUSG00000089687
ENSMUSG00000085070	ENSMUSG00000086330	ENSMUSG00000036278
ENSMUSG00000085476	ENSMUSG00000022141	ENSMUSG00000017204
ENSMUSG00000085580	ENSMUSG00000042372	ENSMUSG00000024395
ENSMUSG00000085841	ENSMUSG00000064302	ENSMUSG00000053765
ENSMUSG00000087783	ENSMUSG00000025997	ENSMUSG00000089789
ENSMUSG00000088476	ENSMUSG00000040506	ENSMUSG00000096727
ENSMUSG00000088752	ENSMUSG00000084407	ENSMUSG00000023046
ENSMUSG00000089408	ENSMUSG00000053263	ENSMUSG00000030382
ENSMUSG00000090462	ENSMUSG00000001998	ENSMUSG00000025347
ENSMUSG00000091259	ENSMUSG00000020546	ENSMUSG00000020072
ENSMUSG00000091887	ENSMUSG00000033446	ENSMUSG00000001225
ENSMUSG00000092843	ENSMUSG00000042323	ENSMUSG00000040432
ENSMUSG00000095625	ENSMUSG00000087064	ENSMUSG00000024696
ENSMUSG00000095853	ENSMUSG00000020185	ENSMUSG00000097939
ENSMUSG00000095920	ENSMUSG00000036309	ENSMUSG00000009356
ENSMUSG00000096009	ENSMUSG00000034621	ENSMUSG00000025911
ENSMUSG00000096138	ENSMUSG00000050288	ENSMUSG00000022679
ENSMUSG00000096432	ENSMUSG00000097576	ENSMUSG00000079025
ENSMUSG00000096614	ENSMUSG00000035107	ENSMUSG00000081303
ENSMUSG00000096853	ENSMUSG00000094597	ENSMUSG00000021223
ENSMUSG00000027120	ENSMUSG00000038127	ENSMUSG00000019102
ENSMUSG00000027157	ENSMUSG00000022179	ENSMUSG00000019326
ENSMUSG00000045202	ENSMUSG00000024304	ENSMUSG00000091618
ENSMUSG00000045508	ENSMUSG00000058385	ENSMUSG00000067656
ENSMUSG00000046932	ENSMUSG00000048402	ENSMUSG00000024158
ENSMUSG00000049094	ENSMUSG00000097577	ENSMUSG00000026354
ENSMUSG00000051758	ENSMUSG00000027378	ENSMUSG00000034339
ENSMUSG00000058078	ENSMUSG00000074994	ENSMUSG00000073386
ENSMUSG00000059695	ENSMUSG00000026630	ENSMUSG00000047591
ENSMUSG00000061809	ENSMUSG00000036602	ENSMUSG00000030484
ENSMUSG00000062124	ENSMUSG00000024817	ENSMUSG00000074677
ENSMUSG00000062543	ENSMUSG00000022773	ENSMUSG00000068877
ENSMUSG00000064481	ENSMUSG00000034520	ENSMUSG00000021566
ENSMUSG00000064543	ENSMUSG00000053830	ENSMUSG00000089991
ENSMUSG00000065416	ENSMUSG00000018377	ENSMUSG00000074939
ENSMUSG00000065529	ENSMUSG00000097493	ENSMUSG00000024810
ENSMUSG00000069296	ENSMUSG00000097990	ENSMUSG00000047419
ENSMUSG00000069475	ENSMUSG00000024212	ENSMUSG00000092274
ENSMUSG00000075135	ENSMUSG00000073422	ENSMUSG00000034891
ENSMUSG00000075136	ENSMUSG00000046351	ENSMUSG00000067235
ENSMUSG00000075431	ENSMUSG00000075470	ENSMUSG00000058063
ENSMUSG00000077493	ENSMUSG00000085984	ENSMUSG00000054150
ENSMUSG00000077756	ENSMUSG00000020277	ENSMUSG00000039269
ENSMUSG00000079171	ENSMUSG00000039476	ENSMUSG00000039529
ENSMUSG00000079266	ENSMUSG00000087143	ENSMUSG00000051000
ENSMUSG00000081484	ENSMUSG00000025020	ENSMUSG00000020838
ENSMUSG00000081591	ENSMUSG00000049532	ENSMUSG00000095817
ENSMUSG00000081830	ENSMUSG00000022332	ENSMUSG00000021795
ENSMUSG00000082562	ENSMUSG00000039982	ENSMUSG00000024210
ENSMUSG00000083018	ENSMUSG00000085271	ENSMUSG00000034919
ENSMUSG00000084565	ENSMUSG00000089707	ENSMUSG00000074639
ENSMUSG00000084590	ENSMUSG00000091238	ENSMUSG00000022304
ENSMUSG00000084740	ENSMUSG00000091183	ENSMUSG00000078261
ENSMUSG00000085679	ENSMUSG00000097305	ENSMUSG00000062638
ENSMUSG00000085691	ENSMUSG00000022801	ENSMUSG00000058216
ENSMUSG00000085844	ENSMUSG00000084764	ENSMUSG00000010601
ENSMUSG00000086858	ENSMUSG00000091997	ENSMUSG00000038421
ENSMUSG00000087329	ENSMUSG00000042104	ENSMUSG00000046694
ENSMUSG00000087353	ENSMUSG00000035469	ENSMUSG00000022861
