Cleav.Blastula	Gastrula	Segmentation	Pharyngula	Larva	Juvenile	Adult
ENSDARG00000000442	ENSDARG00000001241	ENSDARG00000001859	ENSDARG00000000551	ENSDARG00000001154	ENSDARG00000001760	ENSDARG00000000638
ENSDARG00000001769	ENSDARG00000001285	ENSDARG00000001873	ENSDARG00000001784	ENSDARG00000001463	ENSDARG00000001971	ENSDARG00000001220
ENSDARG00000001912	ENSDARG00000001414	ENSDARG00000001889	ENSDARG00000001937	ENSDARG00000002508	ENSDARG00000001993	ENSDARG00000002738
ENSDARG00000001930	ENSDARG00000002082	ENSDARG00000002184	ENSDARG00000002217	ENSDARG00000002564	ENSDARG00000002192	ENSDARG00000003054
ENSDARG00000002077	ENSDARG00000002168	ENSDARG00000002216	ENSDARG00000002226	ENSDARG00000002696	ENSDARG00000002259	ENSDARG00000003523
ENSDARG00000002285	ENSDARG00000002215	ENSDARG00000002445	ENSDARG00000002589	ENSDARG00000003020	ENSDARG00000002394	ENSDARG00000003699
ENSDARG00000002377	ENSDARG00000002267	ENSDARG00000002533	ENSDARG00000002593	ENSDARG00000003049	ENSDARG00000002696	ENSDARG00000003904
ENSDARG00000002614	ENSDARG00000002347	ENSDARG00000002771	ENSDARG00000002933	ENSDARG00000003146	ENSDARG00000003259	ENSDARG00000004221
ENSDARG00000003068	ENSDARG00000002463	ENSDARG00000002795	ENSDARG00000003293	ENSDARG00000003203	ENSDARG00000003533	ENSDARG00000004794
ENSDARG00000003157	ENSDARG00000002538	ENSDARG00000002952	ENSDARG00000003469	ENSDARG00000003311	ENSDARG00000003970	ENSDARG00000004952
ENSDARG00000003169	ENSDARG00000002601	ENSDARG00000002981	ENSDARG00000003732	ENSDARG00000003655	ENSDARG00000003991	ENSDARG00000006372
ENSDARG00000003208	ENSDARG00000002634	ENSDARG00000003165	ENSDARG00000003779	ENSDARG00000003994	ENSDARG00000004051	ENSDARG00000008473
ENSDARG00000003307	ENSDARG00000002707	ENSDARG00000003607	ENSDARG00000003952	ENSDARG00000003998	ENSDARG00000004627	ENSDARG00000008948
ENSDARG00000003384	ENSDARG00000002710	ENSDARG00000003750	ENSDARG00000003965	ENSDARG00000004150	ENSDARG00000005221	ENSDARG00000009852
ENSDARG00000003398	ENSDARG00000002720	ENSDARG00000004328	ENSDARG00000003971	ENSDARG00000004243	ENSDARG00000006372	ENSDARG00000010097
ENSDARG00000003446	ENSDARG00000002970	ENSDARG00000004635	ENSDARG00000004023	ENSDARG00000004648	ENSDARG00000006838	ENSDARG00000010662
ENSDARG00000003449	ENSDARG00000003153	ENSDARG00000004830	ENSDARG00000004232	ENSDARG00000004975	ENSDARG00000007018	ENSDARG00000010701
ENSDARG00000003769	ENSDARG00000003169	ENSDARG00000004939	ENSDARG00000004297	ENSDARG00000004988	ENSDARG00000007534	ENSDARG00000011135
