Ensembl.Gene.ID	CDS.Length
ENSDARG00000000001	1323
ENSDARG00000000002	2604
ENSDARG00000000018	1515
ENSDARG00000000019	552
ENSDARG00000000068	1155
ENSDARG00000000069	318
ENSDARG00000000086	5241
ENSDARG00000000103	5979
ENSDARG00000000142	708
ENSDARG00000000151	1284
ENSDARG00000000161	4920
ENSDARG00000000175	1230
ENSDARG00000000183	2808
ENSDARG00000000189	3195
ENSDARG00000000212	1317
ENSDARG00000000229	1950
ENSDARG00000000241	1689
ENSDARG00000000324	1824
ENSDARG00000000349	819
ENSDARG00000000369	1029
ENSDARG00000000370	8958
ENSDARG00000000380	2577
ENSDARG00000000394	3468
ENSDARG00000000423	1281
ENSDARG00000000442	1170
ENSDARG00000000460	942
ENSDARG00000000472	2544
ENSDARG00000000474	546
ENSDARG00000000476	2691
ENSDARG00000000489	1404
ENSDARG00000000503	867
ENSDARG00000000516	4203
ENSDARG00000000529	2862
ENSDARG00000000540	1845
ENSDARG00000000542	1344
ENSDARG00000000551	1620
ENSDARG00000000563	87459
ENSDARG00000000567	2550
ENSDARG00000000568	1902
ENSDARG00000000588	1149
ENSDARG00000000606	12492
ENSDARG00000000631	2790
ENSDARG00000000638	1050
ENSDARG00000000651	1215
ENSDARG00000000656	657
ENSDARG00000000666	840
ENSDARG00000000690	699
ENSDARG00000000729	2151
ENSDARG00000000730	1755
ENSDARG00000000747	2022
ENSDARG00000000760	834
ENSDARG00000000767	891
ENSDARG00000000779	1908
ENSDARG00000000796	1743
ENSDARG00000000804	1017
ENSDARG00000000830	2469
ENSDARG00000000837	1689
ENSDARG00000000853	2658
ENSDARG00000000857	1086
ENSDARG00000000861	5418
ENSDARG00000000887	549
ENSDARG00000000906	1026
ENSDARG00000000935	2334
ENSDARG00000000943	2694
ENSDARG00000000966	7026
ENSDARG00000001014	5235
ENSDARG00000001015	1791
ENSDARG00000001057	1400
ENSDARG00000001127	1764
ENSDARG00000001129	5604
ENSDARG00000001154	3498
ENSDARG00000001162	2787
ENSDARG00000001169	771
ENSDARG00000001210	675
ENSDARG00000001220	14211
ENSDARG00000001234	2598
ENSDARG00000001241	1551
ENSDARG00000001244	2790
ENSDARG00000001249	888
ENSDARG00000001259	1005
ENSDARG00000001303	816
ENSDARG00000001313	2121
ENSDARG00000001354	1827
ENSDARG00000001414	2784
ENSDARG00000001431	2697
ENSDARG00000001437	1467
ENSDARG00000001442	3681
ENSDARG00000001447	1485
ENSDARG00000001452	2532
ENSDARG00000001463	1092
ENSDARG00000001470	1080
ENSDARG00000001498	1134
ENSDARG00000001549	2076
ENSDARG00000001557	918
ENSDARG00000001558	1857
ENSDARG00000001559	10770
ENSDARG00000001572	1668
ENSDARG00000001578	876
ENSDARG00000001621	1200
ENSDARG00000001634	2424
ENSDARG00000001656	846
ENSDARG00000001676	807
ENSDARG00000001686	1602
ENSDARG00000001710	1272
ENSDARG00000001712	786
ENSDARG00000001721	2820
ENSDARG00000001729	2160
ENSDARG00000001733	1128
ENSDARG00000001734	1221
ENSDARG00000001754	2256
ENSDARG00000001760	4785
ENSDARG00000001767	1353
ENSDARG00000001769	2496
ENSDARG00000001771	1470
ENSDARG00000001776	2184
ENSDARG00000001777	4176
ENSDARG00000001781	765
ENSDARG00000001782	1188
ENSDARG00000001785	1299
ENSDARG00000001788	630
ENSDARG00000001803	3567
ENSDARG00000001804	600
ENSDARG00000001807	1914
ENSDARG00000001817	510
ENSDARG00000001818	5076
ENSDARG00000001825	4954
ENSDARG00000001829	2290
ENSDARG00000001835	5229
ENSDARG00000001857	3252
ENSDARG00000001859	969
ENSDARG00000001870	3075
ENSDARG00000001873	1587
ENSDARG00000001879	6771
ENSDARG00000001880	867
ENSDARG00000001881	1305
ENSDARG00000001882	1872
ENSDARG00000001888	1173
ENSDARG00000001889	1356
ENSDARG00000001890	2418
ENSDARG00000001891	1590
ENSDARG00000001897	2955
ENSDARG00000001898	1317
ENSDARG00000001906	1173
ENSDARG00000001909	2553
ENSDARG00000001910	1479
ENSDARG00000001912	1257
ENSDARG00000001913	1413
ENSDARG00000001929	1725
ENSDARG00000001930	1965
ENSDARG00000001933	1602
ENSDARG00000001937	1455
ENSDARG00000001939	993
ENSDARG00000001940	1581
ENSDARG00000001950	585
ENSDARG00000001953	1611
ENSDARG00000001968	5610
ENSDARG00000001969	1470
ENSDARG00000001971	702
ENSDARG00000001975	1245
ENSDARG00000001976	1291
ENSDARG00000001993	5820
ENSDARG00000001994	1812
ENSDARG00000001999	3735
ENSDARG00000002002	1029
ENSDARG00000002006	1269
ENSDARG00000002013	1809
ENSDARG00000002016	1578
ENSDARG00000002020	5160
ENSDARG00000002021	2532
ENSDARG00000002026	1101
ENSDARG00000002031	2058
ENSDARG00000002037	1647
ENSDARG00000002060	1272
ENSDARG00000002071	1368
ENSDARG00000002077	930
ENSDARG00000002082	1188
ENSDARG00000002084	5349
ENSDARG00000002097	1095
ENSDARG00000002127	1551
ENSDARG00000002128	1635
ENSDARG00000002131	1599
ENSDARG00000002165	747
ENSDARG00000002167	1812
ENSDARG00000002168	837
ENSDARG00000002172	1089
ENSDARG00000002174	1311
ENSDARG00000002184	1068
ENSDARG00000002190	645
ENSDARG00000002192	1113
ENSDARG00000002193	1065
ENSDARG00000002194	1272
ENSDARG00000002196	1899
ENSDARG00000002197	2898
ENSDARG00000002204	618
ENSDARG00000002210	1377
ENSDARG00000002213	3081
ENSDARG00000002215	1092
ENSDARG00000002216	2070
ENSDARG00000002217	243
ENSDARG00000002219	924
ENSDARG00000002220	870
ENSDARG00000002230	894
ENSDARG00000002231	864
ENSDARG00000002235	1725
ENSDARG00000002240	699
ENSDARG00000002241	1482
ENSDARG00000002249	1797
ENSDARG00000002255	2481
ENSDARG00000002259	975
ENSDARG00000002264	408
ENSDARG00000002267	1338
ENSDARG00000002271	639
ENSDARG00000002285	1746
ENSDARG00000002293	1359
ENSDARG00000002295	3900
ENSDARG00000002298	576
ENSDARG00000002299	1752
ENSDARG00000002300	1203
ENSDARG00000002304	549
ENSDARG00000002305	1812
ENSDARG00000002311	405
ENSDARG00000002330	999
ENSDARG00000002332	1851
ENSDARG00000002333	1104
ENSDARG00000002336	1995
ENSDARG00000002339	882
ENSDARG00000002344	1338
ENSDARG00000002347	1530
ENSDARG00000002353	1866
ENSDARG00000002355	1404
ENSDARG00000002362	783
ENSDARG00000002365	1164
ENSDARG00000002369	1380
ENSDARG00000002377	1221
ENSDARG00000002385	9276
ENSDARG00000002391	756
ENSDARG00000002394	1490
ENSDARG00000002396	1566
ENSDARG00000002401	1053
ENSDARG00000002402	2349
ENSDARG00000002403	1341
ENSDARG00000002405	1839
ENSDARG00000002406	1347
ENSDARG00000002411	2166
ENSDARG00000002445	2331
ENSDARG00000002463	2130
ENSDARG00000002467	972
ENSDARG00000002479	4356
ENSDARG00000002483	1053
ENSDARG00000002487	2403
ENSDARG00000002494	2349
ENSDARG00000002506	459
ENSDARG00000002507	3525
ENSDARG00000002508	1389
ENSDARG00000002509	867
ENSDARG00000002510	1110
ENSDARG00000002523	1248
ENSDARG00000002533	1056
ENSDARG00000002536	1956
ENSDARG00000002538	1542
ENSDARG00000002546	1287
ENSDARG00000002549	1341
ENSDARG00000002552	1149
ENSDARG00000002564	672
ENSDARG00000002571	1035
ENSDARG00000002576	498
ENSDARG00000002582	1863
ENSDARG00000002587	1704
ENSDARG00000002589	513
ENSDARG00000002591	1371
ENSDARG00000002593	1665
ENSDARG00000002597	1863
ENSDARG00000002600	2268
ENSDARG00000002601	945
ENSDARG00000002607	3069
ENSDARG00000002609	1950
ENSDARG00000002613	366
ENSDARG00000002632	1458
ENSDARG00000002634	1095
ENSDARG00000002635	3576
ENSDARG00000002642	1104
ENSDARG00000002644	549
ENSDARG00000002656	3387
ENSDARG00000002659	825
ENSDARG00000002663	1554
ENSDARG00000002666	1128
ENSDARG00000002670	1554
ENSDARG00000002682	1347
ENSDARG00000002685	1248
ENSDARG00000002690	491
ENSDARG00000002696	1017
ENSDARG00000002701	768
ENSDARG00000002707	825
ENSDARG00000002710	2118
ENSDARG00000002720	1554
ENSDARG00000002722	888
ENSDARG00000002728	1101
ENSDARG00000002731	627
ENSDARG00000002732	996
ENSDARG00000002745	1128
ENSDARG00000002748	2697
ENSDARG00000002750	2799
ENSDARG00000002754	1074
ENSDARG00000002758	1110
ENSDARG00000002760	1425
ENSDARG00000002764	852
ENSDARG00000002768	330
ENSDARG00000002771	3050
ENSDARG00000002773	1074
ENSDARG00000002779	741
ENSDARG00000002787	2331
ENSDARG00000002790	1326
ENSDARG00000002791	3087
ENSDARG00000002792	1530
ENSDARG00000002794	1311
ENSDARG00000002795	1248
ENSDARG00000002797	630
ENSDARG00000002798	1905
ENSDARG00000002816	3828
ENSDARG00000002826	1485
ENSDARG00000002830	1860
ENSDARG00000002831	5013
ENSDARG00000002840	3171
ENSDARG00000002847	4938
ENSDARG00000002872	2127
ENSDARG00000002877	2376
ENSDARG00000002880	2898
ENSDARG00000002894	969
ENSDARG00000002897	1140
ENSDARG00000002909	2478
ENSDARG00000002912	1128
ENSDARG00000002916	3555
ENSDARG00000002917	1884
ENSDARG00000002933	1029
ENSDARG00000002937	1185
ENSDARG00000002945	1125
ENSDARG00000002947	1980
ENSDARG00000002949	918
ENSDARG00000002952	2469
ENSDARG00000002956	3411
ENSDARG00000002959	1080
ENSDARG00000002967	537
ENSDARG00000002968	1761
ENSDARG00000002970	1107
ENSDARG00000002971	2706
ENSDARG00000002986	1353
ENSDARG00000002988	726
ENSDARG00000002991	3513
ENSDARG00000002994	1254
ENSDARG00000003008	2235
ENSDARG00000003017	459
ENSDARG00000003020	1935
ENSDARG00000003021	1137
ENSDARG00000003022	1848
ENSDARG00000003027	750
ENSDARG00000003032	1221
ENSDARG00000003035	2049
ENSDARG00000003041	993
ENSDARG00000003046	4005
ENSDARG00000003054	1188
ENSDARG00000003058	1545
ENSDARG00000003061	903
ENSDARG00000003068	1386
ENSDARG00000003069	3234
ENSDARG00000003077	423
ENSDARG00000003081	1590
ENSDARG00000003084	2193
ENSDARG00000003085	1299
ENSDARG00000003087	1314
ENSDARG00000003090	957
ENSDARG00000003091	1416
ENSDARG00000003098	4602
ENSDARG00000003109	633
ENSDARG00000003113	1089
ENSDARG00000003127	954
ENSDARG00000003132	726
ENSDARG00000003142	1776
ENSDARG00000003144	585
ENSDARG00000003145	825
ENSDARG00000003146	2538
ENSDARG00000003151	492
ENSDARG00000003153	687
ENSDARG00000003157	1083
ENSDARG00000003165	1215
ENSDARG00000003167	1020
ENSDARG00000003169	3744
ENSDARG00000003175	1044
ENSDARG00000003181	915
ENSDARG00000003189	2895
ENSDARG00000003193	1284
ENSDARG00000003197	954
ENSDARG00000003200	1872
ENSDARG00000003203	1470
ENSDARG00000003205	1935
ENSDARG00000003206	720
ENSDARG00000003207	1209
ENSDARG00000003208	1044
ENSDARG00000003209	1380
ENSDARG00000003210	2727
ENSDARG00000003213	2604
ENSDARG00000003216	1014
ENSDARG00000003217	4488
ENSDARG00000003219	1479
ENSDARG00000003229	1257
ENSDARG00000003235	2163
ENSDARG00000003244	2913
ENSDARG00000003250	3120
ENSDARG00000003251	2016
ENSDARG00000003257	702
ENSDARG00000003259	1227
ENSDARG00000003269	2625
ENSDARG00000003270	1086
ENSDARG00000003281	798
ENSDARG00000003287	1269
ENSDARG00000003290	1563
ENSDARG00000003293	1389
ENSDARG00000003303	753
ENSDARG00000003307	924
ENSDARG00000003308	894
ENSDARG00000003311	1314
ENSDARG00000003313	1518
ENSDARG00000003320	2496
ENSDARG00000003326	870
ENSDARG00000003328	3390
ENSDARG00000003344	3420
ENSDARG00000003373	600
ENSDARG00000003375	231
ENSDARG00000003380	1533
ENSDARG00000003381	2484
ENSDARG00000003382	1182
ENSDARG00000003383	870
ENSDARG00000003395	5055
ENSDARG00000003398	1491
ENSDARG00000003399	633
ENSDARG00000003403	7773
ENSDARG00000003411	1230
ENSDARG00000003414	745
ENSDARG00000003420	1401
ENSDARG00000003421	1824
ENSDARG00000003429	891
ENSDARG00000003444	1017
ENSDARG00000003446	1452
ENSDARG00000003449	2532
ENSDARG00000003462	1230
ENSDARG00000003469	1047
ENSDARG00000003475	882
ENSDARG00000003486	996
ENSDARG00000003487	2463
ENSDARG00000003495	4941
ENSDARG00000003512	3843
ENSDARG00000003517	849
ENSDARG00000003519	534
ENSDARG00000003520	2136
ENSDARG00000003523	945
ENSDARG00000003526	726
ENSDARG00000003527	918
ENSDARG00000003531	939
ENSDARG00000003533	2202
ENSDARG00000003544	2100
ENSDARG00000003553	1239
ENSDARG00000003564	918
ENSDARG00000003570	2382
ENSDARG00000003573	549
ENSDARG00000003576	1863
ENSDARG00000003584	1335
ENSDARG00000003592	930
ENSDARG00000003599	1212
ENSDARG00000003607	1209
ENSDARG00000003615	2289
ENSDARG00000003616	1590
ENSDARG00000003631	2463
ENSDARG00000003632	558
ENSDARG00000003635	1011
ENSDARG00000003641	1191
ENSDARG00000003642	1212
ENSDARG00000003655	1020
ENSDARG00000003675	948
ENSDARG00000003680	1776
ENSDARG00000003681	1290
ENSDARG00000003684	6021
ENSDARG00000003693	1563
ENSDARG00000003695	957
ENSDARG00000003697	1833
ENSDARG00000003699	4503
ENSDARG00000003701	630
ENSDARG00000003705	1680
ENSDARG00000003706	14784
ENSDARG00000003732	1239
ENSDARG00000003749	1020
ENSDARG00000003750	3945
ENSDARG00000003751	3207
ENSDARG00000003754	636
ENSDARG00000003757	564
ENSDARG00000003769	1461
ENSDARG00000003776	1215
ENSDARG00000003779	3633
ENSDARG00000003789	3978
ENSDARG00000003795	1353
ENSDARG00000003797	2070
ENSDARG00000003803	1200
ENSDARG00000003808	891
ENSDARG00000003811	5595
ENSDARG00000003818	993
ENSDARG00000003820	1515
ENSDARG00000003822	1107
ENSDARG00000003827	1053
ENSDARG00000003829	1680
ENSDARG00000003835	918
ENSDARG00000003841	831
ENSDARG00000003845	2001
ENSDARG00000003846	633
ENSDARG00000003854	2094
ENSDARG00000003860	525
ENSDARG00000003865	1146
ENSDARG00000003866	1977
ENSDARG00000003867	1035
ENSDARG00000003869	1002
ENSDARG00000003872	1746
ENSDARG00000003877	4884
ENSDARG00000003899	1287
ENSDARG00000003900	1278
ENSDARG00000003902	1005
ENSDARG00000003903	1014
ENSDARG00000003904	3003
ENSDARG00000003909	1671
ENSDARG00000003910	6312
ENSDARG00000003920	828
ENSDARG00000003925	756
ENSDARG00000003927	1026
ENSDARG00000003931	1425
ENSDARG00000003934	471
ENSDARG00000003938	1806
ENSDARG00000003940	930
ENSDARG00000003941	1041
ENSDARG00000003944	1211
ENSDARG00000003952	423
ENSDARG00000003961	1596
ENSDARG00000003963	1413
ENSDARG00000003965	906
ENSDARG00000003968	1416
ENSDARG00000003970	1409
ENSDARG00000003971	1080
ENSDARG00000003973	1020
ENSDARG00000003974	1182
ENSDARG00000003977	1320
ENSDARG00000003984	5256
ENSDARG00000003989	1293
ENSDARG00000003991	840
ENSDARG00000003994	1644
ENSDARG00000003998	1128
ENSDARG00000004015	600
ENSDARG00000004017	1305
ENSDARG00000004018	1023
ENSDARG00000004023	1050
ENSDARG00000004034	693
ENSDARG00000004037	2193
ENSDARG00000004046	1131
ENSDARG00000004049	711
ENSDARG00000004051	1113
ENSDARG00000004055	4251
ENSDARG00000004059	1374
ENSDARG00000004060	1212
ENSDARG00000004074	2472
ENSDARG00000004078	2121
ENSDARG00000004082	1194
ENSDARG00000004094	2385
ENSDARG00000004105	3369
ENSDARG00000004109	1227
ENSDARG00000004111	1863
ENSDARG00000004114	3339
ENSDARG00000004115	1644
ENSDARG00000004130	1191
ENSDARG00000004131	6708
ENSDARG00000004132	4437
ENSDARG00000004141	768
ENSDARG00000004150	2685
ENSDARG00000004151	714
ENSDARG00000004154	669
ENSDARG00000004158	2478
ENSDARG00000004160	771
ENSDARG00000004161	1650
ENSDARG00000004167	876
ENSDARG00000004169	492
ENSDARG00000004171	573
ENSDARG00000004173	3675
ENSDARG00000004174	7125
ENSDARG00000004176	3858
ENSDARG00000004177	1526
ENSDARG00000004184	8280
