Ensembl.Gene.ID	CDS.Length
ENSMUSG00000000001	1065
ENSMUSG00000000003	525
ENSMUSG00000000028	1701
ENSMUSG00000000037	2910
ENSMUSG00000000049	1038
ENSMUSG00000000056	1389
ENSMUSG00000000058	489
ENSMUSG00000000078	957
ENSMUSG00000000085	2121
ENSMUSG00000000088	441
ENSMUSG00000000093	2136
ENSMUSG00000000094	1659
ENSMUSG00000000103	2334
ENSMUSG00000000120	1284
ENSMUSG00000000125	1068
ENSMUSG00000000126	1098
ENSMUSG00000000127	2472
ENSMUSG00000000131	3378
ENSMUSG00000000134	1719
ENSMUSG00000000142	2523
ENSMUSG00000000148	2604
ENSMUSG00000000149	1140
ENSMUSG00000000154	1233
ENSMUSG00000000157	2388
ENSMUSG00000000159	1119
ENSMUSG00000000167	948
ENSMUSG00000000168	1929
ENSMUSG00000000171	480
ENSMUSG00000000182	756
ENSMUSG00000000183	627
ENSMUSG00000000184	870
ENSMUSG00000000194	1656
ENSMUSG00000000197	5220
ENSMUSG00000000202	1437
ENSMUSG00000000204	1809
ENSMUSG00000000214	1497
ENSMUSG00000000215	333
ENSMUSG00000000216	1968
ENSMUSG00000000223	2946
ENSMUSG00000000244	771
ENSMUSG00000000247	1221
ENSMUSG00000000248	810
ENSMUSG00000000253	1038
ENSMUSG00000000263	1374
ENSMUSG00000000266	2148
ENSMUSG00000000275	1905
ENSMUSG00000000276	1695
ENSMUSG00000000278	1359
ENSMUSG00000000282	1776
ENSMUSG00000000290	2313
ENSMUSG00000000295	600
ENSMUSG00000000296	615
ENSMUSG00000000301	711
ENSMUSG00000000303	2655
ENSMUSG00000000305	2742
ENSMUSG00000000308	1257
ENSMUSG00000000317	1425
ENSMUSG00000000318	927
ENSMUSG00000000320	1992
ENSMUSG00000000325	2889
ENSMUSG00000000326	798
ENSMUSG00000000339	1101
ENSMUSG00000000340	1449
ENSMUSG00000000346	507
ENSMUSG00000000355	546
ENSMUSG00000000359	894
ENSMUSG00000000365	4923
ENSMUSG00000000374	3777
ENSMUSG00000000378	1362
ENSMUSG00000000381	405
ENSMUSG00000000384	1893
ENSMUSG00000000385	1473
ENSMUSG00000000386	1884
ENSMUSG00000000392	2286
ENSMUSG00000000394	543
ENSMUSG00000000399	1134
ENSMUSG00000000402	1653
ENSMUSG00000000409	1563
ENSMUSG00000000411	807
ENSMUSG00000000416	4947
ENSMUSG00000000420	1680
ENSMUSG00000000435	768
ENSMUSG00000000439	1251
ENSMUSG00000000440	1518
ENSMUSG00000000441	1947
ENSMUSG00000000486	1101
ENSMUSG00000000489	726
ENSMUSG00000000530	1509
ENSMUSG00000000531	1179
ENSMUSG00000000532	1518
ENSMUSG00000000538	1524
ENSMUSG00000000544	960
ENSMUSG00000000552	1161
ENSMUSG00000000555	3162
ENSMUSG00000000560	1356
ENSMUSG00000000561	1029
ENSMUSG00000000562	960
ENSMUSG00000000563	771
ENSMUSG00000000567	1524
ENSMUSG00000000568	1068
ENSMUSG00000000579	342
ENSMUSG00000000581	426
ENSMUSG00000000594	582
ENSMUSG00000000600	2211
ENSMUSG00000000605	2244
ENSMUSG00000000606	2574
ENSMUSG00000000617	2616
ENSMUSG00000000627	2334
ENSMUSG00000000628	2754
ENSMUSG00000000631	6252
ENSMUSG00000000632	2976
ENSMUSG00000000673	861
ENSMUSG00000000682	225
ENSMUSG00000000686	1380
ENSMUSG00000000690	675
ENSMUSG00000000693	2265
ENSMUSG00000000701	366
ENSMUSG00000000706	1575
ENSMUSG00000000708	2442
ENSMUSG00000000711	648
ENSMUSG00000000724	648
ENSMUSG00000000730	1266
ENSMUSG00000000731	1659
ENSMUSG00000000732	969
ENSMUSG00000000738	2346
ENSMUSG00000000739	876
ENSMUSG00000000740	636
ENSMUSG00000000743	591
ENSMUSG00000000751	1935
ENSMUSG00000000753	1254
ENSMUSG00000000759	2718
ENSMUSG00000000766	1371
ENSMUSG00000000776	1197
ENSMUSG00000000782	912
ENSMUSG00000000787	1989
ENSMUSG00000000791	2217
ENSMUSG00000000792	1857
ENSMUSG00000000794	2199
ENSMUSG00000000804	4815
ENSMUSG00000000805	918
ENSMUSG00000000811	1848
ENSMUSG00000000817	840
ENSMUSG00000000823	2640
ENSMUSG00000000826	597
ENSMUSG00000000827	690
ENSMUSG00000000838	1896
ENSMUSG00000000861	2508
ENSMUSG00000000869	423
ENSMUSG00000000876	639
ENSMUSG00000000881	2550
ENSMUSG00000000884	981
ENSMUSG00000000889	1869
ENSMUSG00000000901	1479
ENSMUSG00000000902	1158
ENSMUSG00000000903	393
ENSMUSG00000000915	3207
ENSMUSG00000000916	1398
ENSMUSG00000000934	1782
ENSMUSG00000000938	1251
ENSMUSG00000000942	858
ENSMUSG00000000948	216
ENSMUSG00000000957	1749
ENSMUSG00000000958	1533
ENSMUSG00000000959	1302
ENSMUSG00000000976	3555
ENSMUSG00000000982	279
ENSMUSG00000000983	225
ENSMUSG00000001014	789
ENSMUSG00000001016	1173
ENSMUSG00000001017	750
ENSMUSG00000001018	411
ENSMUSG00000001020	306
ENSMUSG00000001021	306
ENSMUSG00000001023	282
ENSMUSG00000001025	270
ENSMUSG00000001027	5526
ENSMUSG00000001029	834
ENSMUSG00000001034	2421
ENSMUSG00000001036	1923
ENSMUSG00000001039	615
ENSMUSG00000001052	3756
ENSMUSG00000001053	1614
ENSMUSG00000001054	1182
ENSMUSG00000001056	462
ENSMUSG00000001062	1953
ENSMUSG00000001065	1845
ENSMUSG00000001076	717
ENSMUSG00000001082	1371
ENSMUSG00000001089	3207
ENSMUSG00000001095	1761
ENSMUSG00000001098	951
ENSMUSG00000001100	1107
ENSMUSG00000001103	573
ENSMUSG00000001105	399
ENSMUSG00000001119	3078
ENSMUSG00000001120	1116
ENSMUSG00000001123	1062
ENSMUSG00000001127	1815
ENSMUSG00000001128	1395
ENSMUSG00000001131	618
ENSMUSG00000001134	474
ENSMUSG00000001138	2142
ENSMUSG00000001143	1077
ENSMUSG00000001150	5916
ENSMUSG00000001151	8751
ENSMUSG00000001155	1626
ENSMUSG00000001156	684
ENSMUSG00000001157	1575
ENSMUSG00000001158	576
ENSMUSG00000001166	1089
ENSMUSG00000001168	1110
ENSMUSG00000001173	2703
ENSMUSG00000001175	594
ENSMUSG00000001211	1131
ENSMUSG00000001225	2274
ENSMUSG00000001227	2661
ENSMUSG00000001228	2349
ENSMUSG00000001229	2589
ENSMUSG00000001240	570
ENSMUSG00000001247	1785
ENSMUSG00000001248	2169
ENSMUSG00000001249	1338
ENSMUSG00000001260	1398
ENSMUSG00000001270	1146
ENSMUSG00000001280	2346
ENSMUSG00000001281	2421
ENSMUSG00000001285	1143
ENSMUSG00000001288	1377
ENSMUSG00000001289	465
ENSMUSG00000001300	1011
ENSMUSG00000001305	846
ENSMUSG00000001313	684
ENSMUSG00000001323	1020
ENSMUSG00000001333	1413
ENSMUSG00000001334	630
ENSMUSG00000001348	984
ENSMUSG00000001349	894
ENSMUSG00000001366	1314
ENSMUSG00000001376	2895
ENSMUSG00000001380	1530
ENSMUSG00000001383	600
ENSMUSG00000001403	540
ENSMUSG00000001415	3054
ENSMUSG00000001416	1638
ENSMUSG00000001418	1215
ENSMUSG00000001419	1545
ENSMUSG00000001420	1176
ENSMUSG00000001424	2733
ENSMUSG00000001435	5325
ENSMUSG00000001436	1539
ENSMUSG00000001440	2631
ENSMUSG00000001441	2763
