Ensembl.Gene.ID	lrt	qvalue
ENSMUSG00000037032	0	1
ENSMUSG00000001379	0	1
ENSMUSG00000032485	0	1
ENSMUSG00000020782	5.55012800000259	1
ENSMUSG00000020536	3.80283799999597	1
ENSMUSG00000019790	4.61806399999477	1
ENSMUSG00000022829	2.00000067707151e-06	1
ENSMUSG00000050549	0	1
ENSMUSG00000020097	11.0489840000009	1
ENSMUSG00000030780	0	1
ENSMUSG00000002949	0.0568460000067716	1
ENSMUSG00000013822	0	1
ENSMUSG00000034394	0.2069019999999	1
ENSMUSG00000051950	0	1
ENSMUSG00000038784	2.00000067707151e-06	1
ENSMUSG00000073616	0	1
ENSMUSG00000046791	0	1
ENSMUSG00000022724	-0.00611200000275858	1
ENSMUSG00000043140	0.188213999999789	1
ENSMUSG00000030835	0	1
ENSMUSG00000037416	0	1
ENSMUSG00000041268	5.6376120000059	1
ENSMUSG00000034889	0.322159999999712	1
ENSMUSG00000037846	0	1
ENSMUSG00000034930	2.00000067707151e-06	1
ENSMUSG00000048439	0	1
ENSMUSG00000023206	0.10157000000072	1
ENSMUSG00000049436	0	1
ENSMUSG00000006313	0.00211200000012468	1
ENSMUSG00000034607	0	1
ENSMUSG00000026051	0	1
ENSMUSG00000072662	0.38002200000119	1
ENSMUSG00000009894	0.746424000000843	1
ENSMUSG00000022235	0	1
ENSMUSG00000002767	-9.59999997576233e-05	1
ENSMUSG00000039640	0	1
ENSMUSG00000022749	0	1
ENSMUSG00000020739	0	1
ENSMUSG00000038010	1.71974799999953	1
ENSMUSG00000026765	1.38011999999981	1
ENSMUSG00000050447	0	1
ENSMUSG00000030772	0	1
ENSMUSG00000026820	0.690496000002895	1
ENSMUSG00000051730	0	1
ENSMUSG00000013698	0	1
ENSMUSG00000020718	0.883599999997386	1
ENSMUSG00000045248	2.06848600000376	1
ENSMUSG00000026239	0	1
ENSMUSG00000070637	2.5105139999996	1
ENSMUSG00000018697	0	1
ENSMUSG00000035754	1.68963200000144	1
ENSMUSG00000022962	0.405456000007689	1
ENSMUSG00000039428	0.0821319999995467	1
ENSMUSG00000004268	0	1
ENSMUSG00000063236	0	1
ENSMUSG00000028179	3.77197800000067	1
ENSMUSG00000029551	0	1
ENSMUSG00000022223	0	1
ENSMUSG00000036639	0.791278000000602	1
ENSMUSG00000027079	0.341322000000218	1
ENSMUSG00000038876	0	1
ENSMUSG00000026771	0	1
ENSMUSG00000059920	0	1
ENSMUSG00000016495	0	1
ENSMUSG00000020255	0	1
ENSMUSG00000037355	-1.99999994947575e-05	1
ENSMUSG00000033417	0	1
ENSMUSG00000035873	3.18280800000048	1
ENSMUSG00000041707	0	1
ENSMUSG00000033047	0	1
ENSMUSG00000004880	0	1
ENSMUSG00000024799	0	1
ENSMUSG00000058454	0	1
ENSMUSG00000037343	-4.00000135414302e-06	1
ENSMUSG00000069633	0	1
ENSMUSG00000031534	0	1
ENSMUSG00000022960	2.02535000000353	1
ENSMUSG00000030790	1.60324199999923	1
ENSMUSG00000039176	0.329761999993934	1
ENSMUSG00000022974	0.00120999999489868	1
ENSMUSG00000035125	3.01854800000001	1
ENSMUSG00000006476	0	1
ENSMUSG00000040548	0	1
ENSMUSG00000041396	0	1
ENSMUSG00000015806	-3.99999771616422e-06	1
ENSMUSG00000063457	0	1
ENSMUSG00000041236	0	1
ENSMUSG00000031562	0	1
ENSMUSG00000056131	1.38122600000497	1
