Ensembl.Gene.ID	CDS.Length
FBgn0000008	3990
FBgn0000014	1773
FBgn0000015	1482
FBgn0000017	5172
FBgn0000018	1620
FBgn0000022	606
FBgn0000024	1950
FBgn0000028	1191
FBgn0000032	1368
FBgn0000036	1794
FBgn0000037	2418
FBgn0000038	1566
FBgn0000039	1731
FBgn0000042	1131
FBgn0000043	1131
FBgn0000044	1131
FBgn0000045	1131
FBgn0000046	1131
FBgn0000047	1131
FBgn0000052	4065
FBgn0000053	4062
FBgn0000054	825
FBgn0000055	771
FBgn0000056	819
FBgn0000057	1887
FBgn0000061	1227
FBgn0000063	2019
FBgn0000064	1092
FBgn0000071	1026
FBgn0000075	1533
FBgn0000077	855
FBgn0000078	1485
FBgn0000079	1485
FBgn0000083	975
FBgn0000084	966
FBgn0000092	783
FBgn0000094	174
FBgn0000097	2199
FBgn0000099	1410
FBgn0000100	954
FBgn0000108	2673
FBgn0000109	549
FBgn0000114	2433
FBgn0000115	543
FBgn0000116	1689
FBgn0000117	2532
FBgn0000119	5037
FBgn0000120	1095
FBgn0000121	1206
FBgn0000137	1461
FBgn0000139	1671
FBgn0000140	5865
FBgn0000146	2601
FBgn0000147	1236
FBgn0000150	507
FBgn0000152	1941
FBgn0000153	1728
FBgn0000157	1044
FBgn0000158	1329
FBgn0000163	4563
FBgn0000166	1485
FBgn0000173	456
FBgn0000179	3072
FBgn0000180	2214
FBgn0000181	510
FBgn0000182	2718
FBgn0000183	2409
FBgn0000206	2691
FBgn0000210	3036
FBgn0000212	4977
FBgn0000216	246
FBgn0000221	978
FBgn0000227	1092
FBgn0000228	3357
FBgn0000229	1119
FBgn0000233	1935
FBgn0000239	2052
FBgn0000241	2029
FBgn0000244	2163
FBgn0000246	2235
FBgn0000247	5886
FBgn0000250	1503
FBgn0000251	1338
FBgn0000253	450
FBgn0000256	4086
FBgn0000257	1920
FBgn0000259	708
FBgn0000261	1521
FBgn0000273	1062
FBgn0000274	1065
FBgn0000276	192
FBgn0000277	192
FBgn0000278	192
FBgn0000279	192
FBgn0000283	3291
FBgn0000286	1533
FBgn0000287	3804
FBgn0000289	2514
FBgn0000299	5340
FBgn0000303	2166
FBgn0000307	5136
FBgn0000308	381
FBgn0000316	1806
FBgn0000317	6504
FBgn0000318	381
FBgn0000319	5037
FBgn0000320	2301
FBgn0000326	1689
FBgn0000330	1248
FBgn0000337	1344
FBgn0000339	435
FBgn0000346	2238
FBgn0000351	1452
FBgn0000352	3606
FBgn0000355	348
FBgn0000356	417
FBgn0000357	519
FBgn0000358	522
FBgn0000359	855
FBgn0000360	921
FBgn0000370	1146
FBgn0000376	2949
FBgn0000377	2109
FBgn0000382	2838
FBgn0000384	1374
FBgn0000392	3354
FBgn0000394	774
FBgn0000395	2256
FBgn0000404	1476
FBgn0000405	1593
FBgn0000406	1311
FBgn0000409	327
FBgn0000411	1149
FBgn0000412	1068
FBgn0000413	2133
FBgn0000414	7083
FBgn0000416	2862
FBgn0000422	1533
FBgn0000426	267
FBgn0000427	4773
FBgn0000439	1761
FBgn0000442	2307
FBgn0000447	1218
FBgn0000448	2625
FBgn0000449	1470
FBgn0000451	1770
FBgn0000454	1527
FBgn0000455	1476
FBgn0000459	1707
FBgn0000463	2502
FBgn0000464	6099
FBgn0000473	1521
FBgn0000477	1101
FBgn0000479	3630
FBgn0000482	3009
FBgn0000489	1752
FBgn0000490	1767
FBgn0000492	1548
FBgn0000497	10671
FBgn0000499	1872
FBgn0000500	426
FBgn0000504	1719
FBgn0000520	1779
FBgn0000524	2217
FBgn0000527	2640
FBgn0000529	1290
FBgn0000533	1179
FBgn0000535	3813
FBgn0000536	1488
FBgn0000541	8286
FBgn0000542	5298
FBgn0000543	2055
FBgn0000546	2637
FBgn0000547	3999
FBgn0000551	369
FBgn0000552	567
FBgn0000556	1392
FBgn0000557	1389
FBgn0000559	2535
FBgn0000560	1122
FBgn0000562	3015
FBgn0000564	294
FBgn0000565	786
FBgn0000566	1182
FBgn0000567	2652
FBgn0000568	4239
FBgn0000575	600
FBgn0000576	1485
FBgn0000577	1659
FBgn0000578	2943
FBgn0000579	1503
FBgn0000581	6102
FBgn0000588	1278
FBgn0000591	540
